Iteration,d1_loss,d2_loss,g_loss
,,,
1,0.000401223,0.000461831,10.8677721
301,0.00011389,0.000261331,9.454844475
601,0.000785534,3.35E-05,10.94405842
901,3.08E-05,3.36E-05,10.03961468
1201,0.001875754,5.53E-05,8.074701309
1501,0.003591834,2.24E-05,8.792646408
1801,9.05E-05,0.000134943,7.59998703
2101,5.65E-05,0.014724512,10.80650043
2401,0.000221989,0.002422301,9.753736496
2701,0.002141168,4.35E-05,9.288686752
3001,0.013870368,6.91E-05,7.913986683
3301,0.000149951,0.002990777,8.822542191
3601,0.000118168,5.56E-05,8.25575161
3901,5.68E-05,0.001019216,12.26667023
4201,0.00014797,0.002440938,12.81350994
4501,1.075794935,0.001830893,7.583557129
4801,0.000528033,0.000134768,8.563824654
5101,0.000371109,0.010843854,6.66480732
5401,0.000129332,0.122743204,8.602068901
5701,0.00035131,0.000686778,8.326976776
6001,0.00761898,0.018821549,7.954329967
6301,0.001222364,0.000174641,7.728116989
6601,0.000473997,0.112714142,8.709344864
6901,0.000112905,0.000719966,7.993599892
7201,0.000517098,0.0003542,8.416935921
7501,0.000506249,0.006497135,8.208487511
7801,0.110244937,0.001026707,8.411737442
8101,0.022026965,0.005815806,7.487174511
8401,7.84E-05,0.054929081,8.241350174
8701,0.001476701,0.225303099,8.260253906
9001,7.90E-05,0.018594386,8.3540802
9301,0.00334135,0.005178832,8.958299637
9601,6.19E-05,0.001478116,8.639543533
9901,0.046493851,0.001952227,6.726334095
10201,0.010718048,0.001804195,6.305772781
10501,0.028776541,0.005323731,7.184514523
10801,5.63E-05,0.000125853,9.470561028
11101,0.002620387,0.00059463,5.973074913
11401,0.000346963,0.000124393,6.616440773
11701,0.000105743,0.003384425,7.390710354
12001,0.006850672,0.000219061,6.512815952
12301,3.78E-05,0.000274097,8.222018242
12601,9.03E-05,0.00696463,11.12903118
12901,0.000234018,2.021132469,6.490350723
13201,0.014960949,2.26E-05,5.975981236
13501,0.000247173,0.035387848,8.804476738
13801,0.00011788,0.000269145,6.633647442
14101,0.001044809,0.000847629,6.969405651
14401,0.000230836,0.010991088,7.203539371
14701,0.002247361,1.47E-05,5.872053623
15001,0.000901534,0.002829322,6.673326492
15301,0.000158152,0.000176822,5.487015247
15601,5.61E-05,0.000688099,6.653981686
15901,0.000559291,0.000256382,6.842067242
16201,3.15E-05,8.80E-05,5.843606949
16501,0.000108394,2.68E-05,5.798514366
16801,0.00028805,0.000108964,6.28107214
17101,0.000967614,4.30E-05,6.579571724
17401,0.00021676,0.000618244,7.769774914
17701,6.42E-05,9.18E-05,6.969995022
18001,9.42E-05,0.000144526,6.552004337
18301,0.000140329,7.62E-05,6.490908146
18601,0.001994276,0.001989843,6.122920036
18901,6.48E-05,8.30E-05,7.737001419
19201,0.001074093,5.68E-06,7.03687048
19501,4.05E-05,0.000266156,8.240828514
19801,0.000119495,0.000300018,5.802103996
20101,0.000140269,0.000243904,5.999079227
20401,4.41E-05,0.000653979,7.859622955
20701,0.283185661,0.00302719,5.44662571
21001,0.000103079,0.005838701,6.968655109
21301,0.014547586,0.000118011,5.766550541
21601,3.09E-05,0.004297226,7.336422443
21901,0.001279356,0.000356089,5.629987717
22201,0.000569516,5.45E-05,6.023731232
22501,4.44E-05,1.480383635,5.533739567
22801,2.35E-05,0.001231324,9.326867104
23101,0.000150509,2.37E-05,6.193953991
23401,0.001714521,4.40E-06,7.259889126
23701,1.08E-05,0.000307195,7.355086803
24001,5.89E-05,0.01493348,6.747788906
24301,0.003091688,0.000140488,5.871355057
24601,2.71E-05,6.62E-05,5.384195805
24901,2.20E-05,0.002418518,5.584298611
25201,7.04E-05,0.17679958,6.50178194
25501,6.99E-05,1.59E-05,5.769536018
25801,6.30E-05,3.55E-05,5.585718155
26101,0.001065184,0.000363617,5.604050636
26401,0.000241703,2.86E-05,6.717565536
26701,0.012181841,0.000558362,6.136495113
27001,8.39E-05,0.009385967,5.128408909
27301,2.83E-05,0.000151698,8.183304787
27601,4.82E-05,0.008578399,6.873972416
27901,4.37E-05,0.000177419,7.221085548
28201,6.85E-05,0.00045919,5.208905697
28501,0.000897852,7.35E-05,5.217469215
28801,0.000762865,0.000205796,5.573478699
29101,0.000453921,0.000198459,4.874764919
29401,3.22E-05,0.000615714,5.993247986
29701,0.001303282,0.024309481,7.561936378
30001,2.38E-05,0.000370689,5.93464756
30301,0.000812558,0.001995729,6.119592667
30601,0.001722781,5.50E-05,5.726343155
30901,0.012137406,0.001395367,4.415278435
31201,4.81E-05,0.002852401,7.07940197
31501,0.000261824,8.67E-05,6.15177536
31801,2.85E-05,1.15E-05,5.752286911
32101,0.112787575,0.00043383,4.594957352
32401,0.000608452,0.003625358,6.952921867
32701,2.50E-05,0.000200371,4.612085342
33001,0.00015159,0.000116878,5.802824497
33301,0.027252534,0.000251551,4.91591692
33601,4.94E-05,5.65E-06,5.753983498
33901,6.36E-05,0.001509197,7.110056877
34201,4.58E-05,0.00029967,5.751176357
34501,0.003190354,0.007090413,5.356966496
34801,0.001622806,0.003809398,4.248803616
35101,0.086522982,0.000558304,5.720164299
35401,0.000173976,0.003456065,4.823083878
35701,0.000337616,0.002340674,5.71931982
36001,3.56E-05,0.000240386,7.030227661
36301,2.91E-05,5.49E-05,4.902478695
36601,0.05267765,0.000188635,4.028016567
36901,0.000334835,2.19E-05,5.111070156
37201,0.000114506,0.000261809,5.55198431
37501,0.000167204,2.62E-05,3.650386572
37801,2.62E-05,0.001005959,5.803988934
38101,0.000239805,8.77E-05,4.580151081
38401,1.29E-05,0.000118512,6.247816086
38701,0.000624931,0.147305191,5.602012634
39001,4.06E-05,0.000199366,6.154704571
39301,0.000541647,0.000778943,5.848315239
39601,0.000296267,0.000140324,5.489147186
39901,4.21E-05,0.001460382,5.086155891
40201,0.012761112,0.001828481,4.53880167
40501,0.311192483,0.000633985,4.654545307
40801,0.001408694,0.000184025,4.558384895
41101,3.75E-05,0.00013285,5.031362534
41401,0.569792509,0.006917872,4.746311665
41701,0.000184303,0.00055329,5.30352354
42001,8.54E-06,0.006986381,5.114717007
42301,0.000122297,0.002710739,4.73742342
42601,0.710686862,0.574898243,4.090249538
1,6.35E-06,0.189291283,9.448026657
301,2.40E-05,0.000240317,16.52098274
601,0.000792174,0.000441964,13.59222984
901,0.001321593,7.03E-05,13.00831223
1201,5.70E-05,0.000298275,9.127901077
1501,1.09E-05,4.99E-05,10.27020359
1801,1.94E-05,1.90E-05,9.013532639
2101,0.001145932,1.75E-05,10.09916782
2401,1.25E-05,0.151912361,7.617377758
2701,4.79E-05,5.98E-05,8.393702507
3001,6.68E-05,0.000667164,7.527491093
3301,1.59E-05,0.005863486,9.026456833
3601,7.93E-05,8.50E-05,10.68955898
3901,0.000862526,4.64E-05,9.835362434
4201,0.000894945,1.64E-05,6.850624561
4501,0.001605946,0.000231849,8.819996834
4801,3.80E-05,3.36E-05,7.638921738
5101,0.000225637,4.35E-05,7.288657188
5401,0.136326492,3.79E-07,6.738037109
5701,7.37E-06,3.80E-06,7.113973141
6001,9.77E-06,2.62E-05,7.688689709
6301,2.01E-05,0.000296477,8.921034813
6601,0.000791529,1.78E-06,6.519535542
6901,5.91E-05,0.020902459,7.582008839
7201,8.97E-06,2.40E-05,7.589243412
7501,0.00082196,2.18E-05,5.168259144
7801,0.000220211,0.000666807,7.804556847
8101,7.78E-05,1.94E-05,7.412751675
8401,0.00011707,3.43E-05,8.311766624
8701,1.69E-05,1.50E-05,5.795490742
9001,0.35964039,0.000101971,4.906962395
9301,0.005797431,0.003134197,5.440162182
9601,2.02E-05,0.000766157,7.024071693
9901,0.000308479,0.000295919,6.249362946
10201,9.14E-06,9.87E-05,5.94222641
10501,8.72E-06,0.000204306,7.401423931
10801,3.20E-05,2.74E-05,6.579842091
11101,0.002021803,0.000165515,6.086497784
11401,0.000604317,0.000139424,6.708580017
11701,7.43E-05,5.08E-05,5.113101006
12001,3.71E-05,0.000978672,8.992049217
